cou,sex,year,value,fillKey
NLD,WOMEN,2014,58.5,50-60
NOR,WOMEN,2000,68.9,60-70
NOR,WOMEN,2001,69.2,60-70
NOR,WOMEN,2002,69.7,60-70
NOR,WOMEN,2003,69.0,60-70
NOR,WOMEN,2004,68.8,60-70
NOR,WOMEN,2005,68.7,60-70
NOR,WOMEN,2006,68.3,60-70
NOR,WOMEN,2007,69.5,60-70
NOR,WOMEN,2008,70.7,70-80
NOR,WOMEN,2009,69.8,60-70
NOR,WOMEN,2010,68.7,60-70
NOR,WOMEN,2011,68.7,60-70
NOR,WOMEN,2012,68.6,60-70
NOR,WOMEN,2013,68.4,60-70
NOR,WOMEN,2014,68.3,60-70
POL,WOMEN,2000,49.7,40-50
POL,WOMEN,2001,49.5,40-50
POL,WOMEN,2002,48.6,40-50
POL,WOMEN,2003,48.0,40-50
POL,WOMEN,2004,47.8,40-50
POL,WOMEN,2005,47.7,40-50
POL,WOMEN,2006,46.6,40-50
POL,WOMEN,2007,46.3,40-50
POL,WOMEN,2008,46.6,40-50
POL,WOMEN,2009,47.3,40-50
POL,WOMEN,2010,47.6,40-50
POL,WOMEN,2011,47.8,40-50
POL,WOMEN,2012,48.1,40-50
POL,WOMEN,2013,48.2,40-50
POL,WOMEN,2014,48.5,40-50
PRT,WOMEN,2000,52.9,50-60
PRT,WOMEN,2001,53.5,50-60
PRT,WOMEN,2002,54.2,50-60
PRT,WOMEN,2003,54.6,50-60
PRT,WOMEN,2004,54.5,50-60
PRT,WOMEN,2005,55.3,50-60
PRT,WOMEN,2006,55.5,50-60
PRT,WOMEN,2007,56.0,50-60
PRT,WOMEN,2008,55.8,50-60
PRT,WOMEN,2009,55.6,50-60
PRT,WOMEN,2010,55.9,50-60
PRT,WOMEN,2011,54.6,50-60
PRT,WOMEN,2012,54.7,50-60
PRT,WOMEN,2013,54.1,50-60
PRT,WOMEN,2014,53.8,50-60
SVK,WOMEN,2000,52.6,50-60
SVK,WOMEN,2001,53.0,50-60
SVK,WOMEN,2002,52.6,50-60
SVK,WOMEN,2003,52.9,50-60
SVK,WOMEN,2004,52.5,50-60
SVK,WOMEN,2005,51.3,50-60
SVK,WOMEN,2006,50.7,50-60
SVK,WOMEN,2007,50.5,50-60
SVK,WOMEN,2008,51.1,50-60
SVK,WOMEN,2009,50.3,50-60
SVK,WOMEN,2010,51.8,50-60
